id,current_satisfaction_score,last_evaluation_satisfaction_score,number_projects,average_montly_hours,time_spent_at_company,promotion_in_last_5_years,department,salary
5000,66,67,2,255,3,0,technical,73000
5012,97,69,4,203,2,0,management,55000
5027,44,46,2,143,3,0,IT,51000
5038,60,58,3,201,3,0,sales,119000
5042,9,62,6,294,4,0,accounting,54000
5048,9,78,6,254,4,0,support,69000
5061,66,89,3,257,3,0,sales,127000
5065,91,70,4,196,2,0,technical,73000
5072,36,50,2,132,3,0,technical,74000
5081,46,57,2,152,3,0,support,72000
5098,74,58,4,178,4,0,sales,117000
5107,57,88,4,140,2,0,support,125000
5109,9,78,6,244,4,0,IT,74000
5120,67,95,3,229,3,0,sales,117000
5126,16,76,4,223,4,0,technical,67000
5143,11,89,6,306,4,0,technical,70000
5156,51,69,3,135,3,0,IT,142000
5169,96,51,4,225,3,0,marketing,115000
5170,15,76,4,255,6,0,accounting,52000
5175,67,69,3,231,3,1,technical,145000
5189,88,67,5,260,3,0,RandD,63000
5196,55,88,3,173,3,0,technical,71000
5212,65,86,4,256,2,0,support,130000
5224,100,73,5,189,3,0,product_mng,66000
5234,37,57,2,133,3,0,technical,57000
5248,17,41,4,232,3,0,RandD,101000
5261,66,62,4,250,2,0,RandD,138000
5266,67,69,3,231,3,1,technical,136000
5275,62,97,5,180,2,0,technical,190000
5281,85,98,5,156,2,0,RandD,68000
5292,61,88,5,146,7,0,marketing,60000
5306,67,72,4,159,2,0,sales,54000
5313,19,63,4,233,5,0,sales,125000
5323,83,81,4,209,4,0,IT,130000
5330,87,59,5,154,3,0,support,56000
5347,97,66,5,234,6,0,technical,69000
5358,41,75,4,199,3,0,sales,72000
5375,89,82,5,224,6,0,RandD,53000
5384,36,60,2,136,6,0,technical,73000
5397,69,81,5,217,2,0,technical,114000
5407,90,100,5,232,5,0,technical,104000
5415,50,71,4,163,8,1,hr,113000
5418,60,79,5,217,2,0,sales,71000
5432,17,91,6,246,5,0,IT,158000
5442,87,67,3,139,2,0,sales,135000
5448,62,49,3,158,2,0,sales,66000
5464,84,50,3,227,2,0,support,54000
5479,61,77,4,142,3,0,support,120000
5487,85,66,3,235,3,0,technical,53000
5490,75,37,3,256,3,0,product_mng,119000
5500,87,78,3,170,2,0,sales,65000
5509,86,59,4,165,3,0,sales,119000
5513,9,92,7,245,4,0,technical,105000
5529,82,84,5,244,5,0,sales,57000
5538,63,57,4,192,3,0,technical,210000
5540,62,87,4,221,3,0,support,71000
5541,64,51,4,207,2,0,IT,63000
5544,94,58,5,222,3,0,technical,57000
5559,49,37,5,246,3,0,support,107000
5571,45,57,2,134,3,0,sales,54000
5580,63,78,3,153,3,0,sales,113000
5586,76,66,5,206,2,0,support,145000
5589,43,51,2,123,3,0,technical,147000
5606,93,64,4,253,3,0,RandD,60000
5610,90,63,4,134,3,0,sales,100000
5621,11,77,6,275,4,0,accounting,63000
5623,68,79,4,184,3,0,marketing,58000
5630,77,83,4,154,3,0,marketing,50000
5635,94,98,4,197,3,0,sales,118000
5638,45,49,2,144,3,0,accounting,73000
5647,73,87,5,257,5,0,IT,66000
5652,43,68,3,197,2,0,technical,61000
5661,65,76,3,111,5,0,technical,134000
5674,49,99,6,205,5,0,technical,176000
5684,24,83,3,208,5,0,sales,53000
5686,67,83,3,148,3,0,support,69000
5691,81,79,4,177,2,0,hr,202000
5692,10,94,6,255,4,0,technical,54000
5708,45,75,4,169,2,0,sales,53000
5717,61,85,4,273,3,0,RandD,74000
5730,89,50,2,238,4,0,RandD,59000
5746,62,67,2,153,3,0,marketing,65000
5748,89,85,4,201,2,0,support,67000
5763,56,64,3,260,3,0,RandD,110000
5776,54,65,3,202,3,0,marketing,56000
5777,95,78,4,245,3,0,sales,52000
5791,87,88,4,140,8,0,marketing,118000
5808,54,64,6,278,2,0,technical,109000
5812,73,96,2,151,3,0,technical,147000
5822,90,100,5,221,6,0,sales,108000
5839,53,73,3,163,3,0,IT,68000
5847,9,91,6,248,4,0,sales,74000
5861,58,61,4,200,3,0,technical,64000
5869,57,66,3,268,3,0,sales,71000
5882,39,51,2,151,3,0,hr,146000
5898,97,76,3,193,3,0,RandD,101000
5902,94,73,3,196,3,0,hr,104000
5916,85,90,2,168,2,0,sales,101000
5923,39,54,2,154,3,0,marketing,74000
5929,13,78,6,152,2,0,support,55000
5930,83,48,3,242,4,0,technical,69000
5937,44,51,2,129,3,0,support,100000
5950,11,93,6,253,4,0,technical,67000
5962,96,80,4,145,2,0,hr,104000
5963,70,100,4,261,3,0,technical,62000
5970,50,86,3,180,7,1,management,217000
5986,56,69,5,198,3,0,hr,61000
5991,11,83,6,306,4,0,support,58000
5994,76,49,5,243,3,0,technical,72000
6000,87,100,3,148,3,0,marketing,66000
6009,9,79,6,293,5,0,sales,58000
6018,40,49,2,143,3,0,product_mng,143000
6035,42,50,2,141,3,0,sales,109000
6038,82,59,5,201,3,0,RandD,73000
6042,11,79,7,306,4,0,product_mng,112000
6046,58,86,4,257,3,0,sales,57000
6057,60,98,4,192,3,0,technical,58000
6068,78,81,4,253,5,0,marketing,54000
6079,49,79,5,177,2,0,support,52000
6085,74,100,4,249,5,0,IT,68000
6102,67,39,2,235,6,0,RandD,67000
6107,67,64,4,136,3,0,technical,62000
6120,35,52,3,155,3,0,sales,61000
6131,36,55,2,141,3,0,hr,146000
